Rank,Overall,Overall Dynamic,Overall Static,Cost,Design,Sales,Acceleration,Maneuverability,Sled Pull,Suspension,Endurance
1,956.85,251.83,239.3,88.46,90,60.84,58.71,60.72,63.6,68.79,385.71
2,937.53,187.91,283.91,91.86,130,62.05,70,61.91,35.57,20.43,385.71
3,901.01,155.79,279.51,92.66,145,41.84,59.7,69.84,5.82,20.43,385.71
4,863.46,196.57,258.31,80.51,120,57.8,63.39,66.29,5.3,61.59,328.57
5,856.32,186.89,260.86,67.86,120,73,40.81,63.57,19.21,63.3,328.57
6,802.36,189.34,225.87,84.92,80,60.95,56.74,51.14,18.95,62.5,307.14
7,795.19,163.77,179.99,29.99,80,70,43.45,50.11,5.19,65.02,371.43
8,767.55,207.38,144.46,46.5,50,47.96,53.33,50.45,33.6,70,335.71
9,767.23,147.37,277,100,100,77,56.64,54.46,15.84,20.43,342.86
10,765.2,219.99,216.64,91.64,60,65,61.77,61.73,39.98,56.51,328.57
11,763.82,150.97,239.99,69.99,100,70,57.83,66.72,16.2,10.22,292.86
12,759.94,210.11,214.12,32.03,120,62.09,58.92,70,12.98,68.21,335.71
13,746.92,163.57,210.49,64.64,110,35.86,49.22,55.91,38.01,20.43,292.86
14,723.74,178.46,150.99,56.61,40,54.38,44.64,61.31,29.08,43.43,314.29
15,705.04,155.38,219.66,64.66,80,75,52.42,51.27,31.26,20.43,250
16,703.76,151.43,234.47,29.47,135,70,59.52,63.93,17.76,10.22,392.86
17,681.68,94.39,143,34.15,50,58.85,41.3,0,39.46,13.62,364.29
18,674.91,125.02,162.75,65.36,50,47.38,29.35,0,65.03,30.65,307.14
19,666.74,189.11,183.35,60.4,80,42.95,49.78,30.99,67.47,40.87,214.29
20,663.48,155.04,135.57,70.98,10,54.59,46.65,50.21,37.75,20.43,292.86
21,662.59,176.23,199.22,69.22,60,70,54.32,55.3,32.56,34.06,207.14
22,659.64,180.85,120.21,47.35,30,42.86,38.35,53.1,31.68,57.72,278.57
23,659.25,187.82,248.58,77.55,120,51.03,47.88,61.34,20.36,58.24,142.86
24,627.6,121.02,105.15,49.75,0,55.4,49.32,0,37.65,34.06,321.43
25,623.43,156.91,141.52,67.92,40,33.6,68.52,64.53,10.23,13.62,400
26,618.74,126.93,183.24,64.45,70,48.79,46.68,56.57,3.25,20.43,228.57
